Department,Monthly Income,Business Travel,Over Time,Job Satisfaction,Work Life Balance,Years At Company,Attrition
Sales,4994.447579,Travel_Frequently,No,4,3,10,No
Research & Development,4096.794416,Travel_Rarely,Yes,4,3,7,Yes
Human Resources,4558.61511,Travel_Rarely,Yes,4,3,8,Yes
Sales,4246.867758,Non-Travel,No,4,2,11,No
Sales,5875.084832,Travel_Rarely,No,3,4,11,No
Research & Development,4953.107674,Travel_Rarely,No,3,2,8,No
Human Resources,5850.790185,Non-Travel,Yes,4,3,9,No
Human Resources,4822.938294,Non-Travel,No,2,2,9,Yes
Research & Development,4876.484509,Travel_Rarely,No,1,2,9,Yes
Research & Development,5406.786885,Travel_Frequently,Yes,2,1,9,Yes
Sales,4682.601167,Travel_Rarely,No,2,1,12,No
Research & Development,4384.611805,Travel_Frequently,No,4,1,8,Yes
Research & Development,4613.131096,Travel_Rarely,Yes,1,3,8,Yes
Sales,4555.651251,Non-Travel,No,3,1,11,No
Research & Development,5390.296226,Non-Travel,Yes,3,3,9,No
Sales,5140.455258,Non-Travel,Yes,3,4,10,No
Sales,5371.488515,Travel_Frequently,No,4,2,9,No
Research & Development,5266.238423,Travel_Rarely,No,1,2,9,Yes
Sales,3433.666173,Non-Travel,No,3,3,9,No
Research & Development,5367.647807,Non-Travel,Yes,4,3,10,No
Sales,4750.105809,Travel_Rarely,No,4,3,9,No
Research & Development,4093.407234,Non-Travel,No,1,3,9,Yes
Research & Development,4049.563342,Non-Travel,No,4,2,10,No
Research & Development,4585.956488,Travel_Rarely,Yes,4,3,10,Yes
Human Resources,4416.660568,Travel_Frequently,No,4,3,7,No
Sales,4693.354217,Travel_Rarely,Yes,4,3,11,No
Research & Development,5161.450236,Travel_Rarely,No,1,1,11,Yes
Sales,6003.224402,Travel_Frequently,No,2,1,10,No
Research & Development,4730.675993,Travel_Frequently,Yes,4,4,12,Yes
Research & Development,5232.121478,Travel_Frequently,Yes,4,2,7,Yes
Sales,4228.41654,Travel_Frequently,No,4,3,9,No
Sales,4985.229727,Travel_Frequently,Yes,3,1,9,Yes
Sales,5720.121793,Non-Travel,Yes,1,3,9,No
Research & Development,5773.558771,Non-Travel,Yes,4,3,10,No
Research & Development,5178.252607,Travel_Frequently,No,3,3,13,No
Sales,4427.73435,Travel_Rarely,Yes,2,2,10,Yes
Human Resources,4933.037428,Travel_Frequently,No,2,1,9,Yes
Research & Development,5366.983074,Non-Travel,Yes,3,4,11,No
Human Resources,5446.909798,Travel_Frequently,Yes,3,3,11,No
Research & Development,4471.339696,Travel_Frequently,No,2,4,8,Yes
Human Resources,4927.361864,Non-Travel,No,4,4,11,No
Human Resources,5143.127267,Non-Travel,Yes,1,2,8,Yes
Human Resources,4911.636166,Travel_Rarely,Yes,1,4,6,Yes
Research & Development,4516.291526,Non-Travel,No,2,1,10,No
Research & Development,5220.162658,Travel_Frequently,Yes,3,3,11,Yes
Sales,5119.739031,Travel_Frequently,Yes,2,1,13,Yes
Sales,4595.231389,Travel_Rarely,No,4,1,8,Yes
Research & Development,5699.416959,Travel_Rarely,Yes,2,2,10,Yes
Research & Development,4572.097747,Travel_Frequently,No,3,3,7,No
Research & Development,5673.773266,Non-Travel,Yes,2,3,10,No
Human Resources,4675.414142,Travel_Frequently,Yes,2,1,12,Yes
Research & Development,5545.132078,Travel_Rarely,No,3,4,8,No
Sales,5716.643707,Travel_Frequently,Yes,2,2,11,Yes
Sales,3982.668436,Travel_Rarely,No,1,1,9,Yes
Research & Development,5386.241585,Travel_Frequently,No,2,3,10,No
Sales,4406.667801,Non-Travel,No,3,3,10,No
Human Resources,5392.64184,Travel_Rarely,No,4,4,11,No
Sales,4744.53412,Non-Travel,No,3,3,12,No
Research & Development,4921.852151,Non-Travel,Yes,2,2,12,No
Research & Development,4714.358518,Travel_Frequently,No,3,3,12,No
Sales,4705.221904,Travel_Rarely,Yes,2,3,12,No
Sales,5230.906394,Non-Travel,No,2,1,11,No
Research & Development,4978.90741,Non-Travel,No,1,1,12,No
Human Resources,5123.736993,Travel_Frequently,No,1,2,7,Yes
Research & Development,5157.182105,Non-Travel,No,4,2,6,No
Research & Development,5433.068746,Non-Travel,No,4,1,8,No
Sales,4670.556963,Travel_Frequently,Yes,4,4,10,Yes
Human Resources,3897.179833,Non-Travel,No,1,1,8,Yes
Human Resources,4273.024604,Non-Travel,Yes,3,2,12,No
Research & Development,5026.093757,Travel_Frequently,Yes,3,1,12,Yes
Sales,5201.005713,Travel_Frequently,Yes,3,2,9,Yes
Human Resources,4279.579401,Travel_Rarely,No,2,3,13,No
Sales,4868.023374,Travel_Rarely,No,2,2,9,No
Research & Development,4696.235025,Travel_Frequently,Yes,1,2,10,Yes
Sales,4621.226359,Non-Travel,Yes,1,4,10,Yes
Research & Development,5466.501611,Travel_Rarely,No,2,1,10,Yes
Research & Development,5811.978434,Travel_Frequently,Yes,2,2,10,Yes
Human Resources,4004.551566,Travel_Frequently,No,1,3,10,Yes
Human Resources,5066.239857,Non-Travel,No,2,3,9,No
Human Resources,5118.891175,Travel_Frequently,No,4,3,9,No
Research & Development,5180.393703,Travel_Frequently,No,2,1,13,Yes
Research & Development,4640.960128,Travel_Rarely,No,3,1,8,Yes
Research & Development,4382.471948,Travel_Rarely,No,1,2,8,Yes
Sales,5560.116989,Travel_Frequently,Yes,4,2,8,No
Sales,5371.565443,Non-Travel,No,3,3,14,No
Human Resources,4911.402256,Travel_Frequently,Yes,4,1,9,Yes
Research & Development,4593.689948,Travel_Frequently,Yes,2,4,11,Yes
Human Resources,4054.766611,Travel_Frequently,Yes,4,3,8,Yes
Sales,5131.07879,Travel_Frequently,Yes,3,2,12,Yes
Research & Development,5058.529157,Travel_Rarely,Yes,2,1,10,Yes
Sales,5269.8625,Non-Travel,No,1,3,9,No
Research & Development,5500.948334,Travel_Frequently,Yes,1,4,13,Yes
Research & Development,5448.462798,Travel_Frequently,Yes,4,4,12,No
Research & Development,4962.565777,Travel_Frequently,No,4,1,7,No
Sales,5346.83645,Travel_Rarely,No,1,1,10,No
Sales,4652.132104,Travel_Frequently,Yes,4,4,9,Yes
Human Resources,4160.600116,Travel_Frequently,Yes,1,4,11,Yes
Sales,4024.247402,Travel_Rarely,No,3,3,9,Yes
Human Resources,5099.461764,Non-Travel,Yes,2,2,10,No
Human Resources,4170.957038,Travel_Frequently,No,2,1,12,Yes
Human Resources,5702.160673,Travel_Frequently,Yes,3,3,9,Yes
Human Resources,5213.392455,Non-Travel,No,2,1,7,No
Sales,4485.740894,Non-Travel,Yes,4,3,10,No
Sales,5464.404966,Non-Travel,Yes,3,2,10,No
Research & Development,4665.841246,Non-Travel,No,1,4,7,Yes
Human Resources,4916.030572,Travel_Frequently,No,2,3,9,No
Sales,4759.54357,Travel_Rarely,Yes,4,3,11,No
Human Resources,4784.540538,Travel_Rarely,No,4,2,5,Yes
Human Resources,4713.623928,Non-Travel,Yes,3,4,7,Yes
Human Resources,4661.431044,Travel_Frequently,No,2,4,10,No
Sales,5922.378984,Travel_Frequently,No,4,2,11,No
Research & Development,4954.47283,Travel_Frequently,No,4,4,9,No
Sales,5054.252281,Non-Travel,No,3,4,7,No
Sales,4550.461876,Travel_Rarely,Yes,3,4,10,Yes
Sales,6132.911747,Non-Travel,Yes,3,4,8,No
Human Resources,5395.944733,Travel_Rarely,No,2,3,9,No
Sales,4914.206977,Travel_Rarely,Yes,3,1,13,Yes
Human Resources,5247.782695,Travel_Rarely,No,4,4,10,No
Research & Development,4260.534271,Travel_Frequently,No,1,2,14,Yes
Research & Development,5495.616622,Travel_Rarely,Yes,2,3,11,No
Research & Development,4658.035767,Travel_Rarely,Yes,4,3,10,Yes
Sales,4779.005657,Travel_Rarely,Yes,3,1,10,Yes
Human Resources,4732.621034,Non-Travel,No,1,4,8,No
Research & Development,5107.631505,Travel_Frequently,Yes,3,4,11,Yes
Sales,4616.93579,Travel_Frequently,No,4,3,11,No
Sales,4764.773557,Travel_Frequently,Yes,1,2,9,Yes
Human Resources,5120.685239,Travel_Rarely,Yes,2,1,12,Yes
Human Resources,5232.326388,Travel_Rarely,Yes,4,4,8,No
Research & Development,4800.051976,Travel_Frequently,Yes,2,4,9,Yes
Human Resources,5026.968587,Travel_Frequently,Yes,1,4,10,Yes
Research & Development,4883.873155,Non-Travel,Yes,1,3,8,Yes
Research & Development,5362.588228,Travel_Frequently,No,1,3,8,Yes
Human Resources,5134.097815,Non-Travel,Yes,2,3,11,No
Human Resources,5357.952248,Non-Travel,No,2,2,8,No
Sales,4406.400131,Travel_Rarely,No,2,4,8,Yes
Sales,5025.888665,Travel_Frequently,Yes,2,2,12,Yes
Research & Development,5194.175434,Travel_Frequently,No,2,4,13,No
Human Resources,4567.855764,Travel_Frequently,Yes,2,2,12,Yes
Research & Development,5201.358835,Travel_Rarely,Yes,4,4,8,Yes
Research & Development,4016.053734,Travel_Frequently,No,2,3,11,Yes
Sales,5106.012191,Travel_Rarely,Yes,3,1,10,Yes
Human Resources,5091.760102,Non-Travel,No,4,4,11,No
Sales,5477.421739,Travel_Frequently,No,4,1,9,No
Research & Development,4958.282849,Non-Travel,Yes,4,4,7,No
Human Resources,5160.966484,Travel_Frequently,Yes,3,3,12,Yes
Sales,4682.917819,Travel_Rarely,Yes,4,1,9,Yes
Sales,5057.139608,Travel_Rarely,Yes,1,4,14,No
Human Resources,4926.391328,Travel_Rarely,No,1,1,9,Yes
Research & Development,5645.143418,Travel_Rarely,Yes,3,2,11,Yes
Human Resources,5044.180608,Non-Travel,No,4,1,11,No
Sales,5944.131582,Travel_Rarely,Yes,2,2,12,No
Sales,4821.425012,Travel_Rarely,Yes,2,2,13,Yes
Sales,4531.475324,Travel_Frequently,No,4,2,13,No
Sales,3866.921923,Non-Travel,Yes,1,3,10,Yes
Research & Development,5330.542096,Travel_Rarely,Yes,1,1,12,No
Research & Development,6003.21431,Travel_Rarely,No,4,4,11,No
Research & Development,4749.222789,Non-Travel,Yes,4,4,11,No
Sales,4726.681534,Non-Travel,Yes,3,1,10,No
Research & Development,5654.376065,Travel_Rarely,No,1,2,14,No
Research & Development,4794.671261,Travel_Frequently,Yes,1,2,7,Yes
Research & Development,5204.436878,Travel_Rarely,No,3,3,11,No
Human Resources,5256.432875,Non-Travel,No,2,1,10,No
Human Resources,5903.817181,Travel_Rarely,Yes,2,3,11,No
Research & Development,5588.551408,Non-Travel,Yes,1,1,11,Yes
Sales,5042.601082,Travel_Rarely,No,1,2,14,No
Research & Development,5383.759578,Non-Travel,Yes,2,3,11,No
Research & Development,4550.35081,Travel_Frequently,Yes,3,1,8,Yes
Human Resources,5628.512667,Non-Travel,Yes,3,4,12,No
Human Resources,4332.81092,Travel_Rarely,No,1,4,8,No
Sales,3946.601878,Travel_Frequently,No,1,2,8,Yes
Research & Development,4511.581685,Travel_Rarely,No,2,1,11,Yes
Human Resources,5198.483578,Travel_Frequently,Yes,1,2,9,Yes
Research & Development,5261.538002,Travel_Frequently,Yes,1,2,12,Yes
Sales,5209.621394,Non-Travel,Yes,3,3,9,No
Sales,5506.461498,Travel_Rarely,No,2,4,14,No
Sales,4940.782005,Travel_Frequently,No,1,3,11,No
Human Resources,4302.450057,Travel_Rarely,No,1,2,7,Yes
Sales,5213.745768,Travel_Frequently,No,3,1,11,No
Sales,4957.704592,Travel_Frequently,Yes,2,1,9,Yes
Sales,4741.075823,Non-Travel,Yes,4,1,10,No
Research & Development,4556.342813,Travel_Rarely,No,2,3,12,No
Sales,4656.719128,Travel_Frequently,Yes,2,2,11,Yes
Research & Development,4558.295793,Travel_Rarely,Yes,2,3,10,Yes
Sales,4613.268546,Non-Travel,Yes,2,1,10,Yes
Research & Development,4730.858655,Travel_Rarely,No,3,3,11,No
Human Resources,5303.813115,Travel_Frequently,Yes,2,2,9,Yes
Sales,4754.561849,Travel_Rarely,Yes,2,2,11,Yes
Research & Development,5830.800706,Travel_Frequently,No,2,1,12,No
Sales,4771.442057,Travel_Frequently,No,3,1,9,Yes
Research & Development,4601.555428,Travel_Frequently,Yes,1,1,6,Yes
Sales,4737.658911,Non-Travel,Yes,4,3,11,No
Sales,4857.611918,Non-Travel,No,4,1,11,No
Research & Development,5080.416604,Travel_Rarely,Yes,1,3,11,Yes
Sales,4983.849794,Travel_Frequently,Yes,1,2,8,Yes
Research & Development,3945.924174,Travel_Frequently,No,1,2,11,Yes
Human Resources,5038.875987,Non-Travel,Yes,3,3,9,Yes
Human Resources,5079.859268,Travel_Rarely,Yes,1,1,8,Yes
Research & Development,4846.495691,Non-Travel,No,4,2,6,No
Human Resources,4574.764662,Travel_Rarely,Yes,1,2,8,Yes
Research & Development,4380.646402,Travel_Rarely,No,4,4,11,No
Sales,5145.760149,Travel_Rarely,Yes,4,2,9,Yes
Human Resources,5256.275414,Travel_Rarely,No,4,4,10,No
Sales,5737.055867,Travel_Rarely,No,1,4,5,No
Human Resources,4913.749421,Non-Travel,Yes,2,4,11,No
Sales,5558.53639,Travel_Rarely,No,1,2,9,No
Research & Development,4952.247671,Travel_Rarely,No,4,1,12,No
Sales,4609.284929,Travel_Frequently,No,1,1,6,Yes
Sales,4938.591507,Non-Travel,No,4,1,12,No
Human Resources,4897.322752,Travel_Rarely,No,1,4,12,No
Sales,4767.511772,Travel_Frequently,Yes,3,4,12,Yes
Research & Development,5048.654983,Non-Travel,Yes,2,3,9,Yes
Research & Development,3934.096006,Travel_Frequently,No,3,3,14,No
Research & Development,4297.817044,Non-Travel,No,1,3,12,No
Research & Development,3700.066886,Travel_Frequently,Yes,1,4,8,Yes
Human Resources,4887.488411,Travel_Rarely,Yes,3,1,13,Yes
Research & Development,3832.058896,Travel_Rarely,Yes,3,3,9,Yes
Sales,5302.729098,Travel_Frequently,No,4,1,11,No
Human Resources,4388.824305,Travel_Frequently,Yes,1,4,11,Yes
Sales,5594.335979,Travel_Frequently,No,1,3,8,No
Human Resources,5162.001921,Non-Travel,No,2,2,10,No
Human Resources,5049.690217,Non-Travel,Yes,4,4,11,No
Sales,5300.05299,Travel_Rarely,Yes,4,4,8,No
Sales,4366.491719,Travel_Rarely,No,3,4,11,No
Human Resources,5123.5596,Travel_Rarely,Yes,3,1,11,Yes
Research & Development,4963.19922,Non-Travel,Yes,1,3,12,Yes
Human Resources,4451.180021,Travel_Rarely,No,4,1,10,No
Human Resources,4562.018286,Non-Travel,No,1,1,8,No
Research & Development,4989.262142,Travel_Frequently,Yes,1,4,8,Yes
Human Resources,5111.342894,Travel_Rarely,Yes,3,4,12,No
Research & Development,4195.072268,Non-Travel,No,4,2,11,No
Research & Development,5114.025743,Travel_Rarely,Yes,3,4,11,No
Human Resources,4574.943634,Travel_Frequently,Yes,2,2,11,Yes
Sales,4252.817959,Travel_Frequently,Yes,1,4,10,Yes
Human Resources,4613.669221,Non-Travel,No,3,2,10,No
Human Resources,5747.761084,Travel_Rarely,Yes,2,3,10,No
Sales,4785.305588,Travel_Frequently,Yes,3,2,13,Yes
Human Resources,5420.235406,Non-Travel,Yes,2,1,9,Yes
Sales,5555.883033,Travel_Rarely,Yes,3,2,8,No
Sales,5305.476998,Travel_Frequently,Yes,2,2,12,Yes
Research & Development,4535.098355,Travel_Frequently,Yes,3,4,10,Yes
Sales,4472.02444,Non-Travel,Yes,1,3,13,No
Research & Development,4766.056451,Travel_Frequently,Yes,4,1,7,Yes
Research & Development,4784.338639,Non-Travel,No,1,1,10,No
Sales,5144.196164,Non-Travel,No,3,4,9,No
Research & Development,5429.006489,Travel_Frequently,No,2,4,9,No
Sales,5951.400387,Non-Travel,Yes,1,4,5,No
Research & Development,5966.468656,Travel_Frequently,Yes,2,2,6,Yes
Sales,5584.306658,Travel_Rarely,Yes,4,4,8,No
Sales,5132.46234,Travel_Frequently,No,1,3,12,No
Research & Development,4628.661214,Non-Travel,No,3,3,9,No
Human Resources,5613.381502,Travel_Frequently,No,2,2,10,No
Human Resources,4789.103551,Travel_Rarely,Yes,4,1,7,Yes
Human Resources,4730.018622,Travel_Rarely,No,4,4,12,No
Human Resources,4998.251527,Travel_Rarely,Yes,3,3,10,No
Research & Development,4930.489117,Non-Travel,No,1,2,9,Yes
Sales,5166.884141,Travel_Rarely,No,1,2,12,No
Research & Development,5335.957104,Travel_Rarely,Yes,4,1,11,No
Sales,4852.115651,Non-Travel,Yes,1,2,9,Yes
Research & Development,4513.944718,Travel_Rarely,Yes,3,3,9,Yes
Human Resources,5152.253652,Travel_Frequently,Yes,4,4,6,Yes
Research & Development,4575.716678,Travel_Rarely,No,4,1,11,No
Sales,5835.110887,Non-Travel,Yes,1,4,11,No
Human Resources,5024.012485,Travel_Rarely,Yes,2,1,7,Yes
Human Resources,5343.055193,Travel_Frequently,No,2,3,7,No
Sales,4982.219579,Travel_Frequently,Yes,4,3,11,No
Human Resources,4503.311452,Non-Travel,Yes,2,1,8,Yes
Research & Development,5744.787003,Non-Travel,No,3,1,9,No
Research & Development,4917.26211,Travel_Rarely,Yes,2,1,10,Yes
Research & Development,5062.526244,Non-Travel,No,2,1,10,No
Research & Development,5228.626963,Non-Travel,No,2,1,10,No
Human Resources,4975.343409,Travel_Frequently,Yes,4,1,6,Yes
Sales,4904.144481,Travel_Frequently,No,1,2,9,Yes
Sales,4747.413105,Non-Travel,Yes,3,1,10,No
Sales,5348.116483,Travel_Rarely,Yes,3,1,7,Yes
Sales,6054.6339,Travel_Rarely,Yes,1,2,8,No
Sales,4437.946914,Travel_Frequently,Yes,2,3,7,Yes
Sales,4975.505995,Non-Travel,No,1,2,9,Yes
Human Resources,5358.077057,Non-Travel,No,4,4,7,No
Sales,5830.181475,Travel_Frequently,No,3,1,9,No
Human Resources,4204.071718,Non-Travel,No,4,1,7,No
Human Resources,4365.183243,Travel_Rarely,No,2,3,10,Yes
Human Resources,5148.820267,Travel_Rarely,Yes,4,3,14,No
Sales,4992.496793,Non-Travel,No,4,4,7,No
Human Resources,4895.306379,Travel_Rarely,Yes,2,1,9,Yes
Research & Development,4347.998064,Non-Travel,No,1,4,13,No
Research & Development,5126.396601,Non-Travel,No,1,3,10,No
Human Resources,4495.819061,Non-Travel,No,3,1,11,No
Sales,4590.762881,Travel_Frequently,Yes,2,1,8,Yes
Research & Development,5414.922474,Travel_Rarely,No,1,1,14,No
Human Resources,4353.546689,Travel_Frequently,Yes,1,2,11,Yes
Human Resources,4615.115406,Non-Travel,No,3,4,11,No
Research & Development,5136.110064,Non-Travel,No,1,2,9,No
Research & Development,4684.273795,Travel_Frequently,No,3,4,10,No
Sales,4486.504763,Travel_Frequently,No,4,3,8,No
Research & Development,5132.603669,Non-Travel,No,4,3,8,No
Sales,4503.227475,Non-Travel,No,1,1,9,Yes
Human Resources,4918.733661,Non-Travel,No,4,2,9,No
Human Resources,5646.949162,Travel_Rarely,Yes,4,2,11,No
Human Resources,4561.320133,Travel_Frequently,No,4,3,7,Yes
Human Resources,4850.931423,Non-Travel,Yes,3,3,11,Yes
Human Resources,4654.516434,Travel_Rarely,No,2,1,12,Yes
Research & Development,5115.252643,Non-Travel,No,3,4,9,No
Human Resources,5088.016403,Non-Travel,No,2,3,8,No
Sales,5162.737935,Travel_Frequently,No,3,1,14,No
Sales,4088.20788,Travel_Rarely,No,4,1,10,No
Sales,5128.913261,Non-Travel,Yes,2,3,10,No
Human Resources,4363.229429,Travel_Rarely,No,1,4,9,Yes
Human Resources,4870.164411,Travel_Rarely,Yes,3,3,11,No
Sales,5273.492356,Travel_Frequently,Yes,2,3,12,Yes
Sales,4877.529887,Travel_Frequently,Yes,4,1,10,Yes
Human Resources,4811.75616,Travel_Rarely,Yes,1,2,12,Yes
Human Resources,4234.87753,Travel_Frequently,Yes,3,1,4,Yes
Sales,5494.30709,Non-Travel,No,3,4,10,No
Human Resources,5408.543951,Travel_Rarely,No,3,3,12,No
Human Resources,5412.296236,Non-Travel,Yes,1,2,12,No
Sales,5539.440401,Travel_Rarely,Yes,2,3,13,No
Research & Development,4501.748585,Travel_Rarely,Yes,2,4,7,Yes
Human Resources,4575.865534,Travel_Rarely,No,2,4,10,No
Research & Development,5016.745941,Travel_Rarely,No,3,4,11,No
Human Resources,4545.118778,Travel_Rarely,Yes,1,3,11,Yes
Human Resources,4779.338462,Travel_Frequently,No,3,2,14,No
Sales,4639.452034,Non-Travel,Yes,4,1,7,Yes
Human Resources,4731.814882,Non-Travel,Yes,4,1,8,No
Sales,5782.96653,Travel_Rarely,No,1,2,11,No
Sales,5638.296744,Travel_Rarely,No,4,1,8,No
Research & Development,5188.636589,Non-Travel,No,2,2,7,No
Research & Development,4651.297125,Non-Travel,No,3,1,8,No
Research & Development,5119.35506,Non-Travel,No,4,1,7,No
Human Resources,5317.220056,Travel_Frequently,Yes,4,3,8,Yes
Research & Development,3946.228118,Travel_Rarely,Yes,2,1,11,Yes
Research & Development,4604.336665,Travel_Frequently,Yes,3,4,10,Yes
Human Resources,5349.87812,Travel_Rarely,No,1,1,11,Yes
Research & Development,5090.675032,Travel_Rarely,Yes,3,4,9,No
Research & Development,5068.377684,Non-Travel,No,2,2,8,No
Research & Development,5442.888704,Travel_Frequently,Yes,3,3,14,No
Human Resources,5409.627018,Travel_Frequently,Yes,1,2,9,Yes
Sales,4844.526808,Travel_Frequently,No,1,2,15,No
Sales,4888.535517,Travel_Rarely,No,1,1,11,Yes
Research & Development,5862.992826,Travel_Rarely,Yes,3,1,9,No
Research & Development,5160.695955,Travel_Frequently,No,4,1,11,No
Research & Development,3897.122747,Travel_Rarely,Yes,4,1,12,Yes
Research & Development,5322.535979,Travel_Rarely,No,2,4,11,No
Sales,3992.34342,Travel_Frequently,Yes,3,3,9,Yes
Human Resources,4809.295448,Travel_Rarely,No,1,2,6,Yes
Human Resources,4784.603372,Non-Travel,No,2,1,12,No
Research & Development,5220.100935,Non-Travel,No,2,3,9,No
Human Resources,4322.841734,Non-Travel,Yes,1,3,10,Yes
Human Resources,5478.074124,Non-Travel,No,3,2,10,No
Human Resources,5745.530904,Non-Travel,No,2,2,8,No
Research & Development,5346.049597,Travel_Frequently,No,1,2,10,No
Human Resources,4636.64403,Travel_Frequently,No,1,3,11,Yes
Sales,4786.998743,Non-Travel,No,3,1,9,No
Research & Development,4893.481785,Travel_Frequently,Yes,3,3,9,Yes
Sales,5906.378501,Travel_Frequently,Yes,1,1,7,Yes
Research & Development,5411.010723,Travel_Frequently,No,1,3,10,No
Sales,4043.92986,Non-Travel,No,1,2,8,Yes
Human Resources,4287.930786,Travel_Frequently,Yes,4,4,11,Yes
Human Resources,5375.159649,Travel_Rarely,No,2,3,9,No
Human Resources,5002.100911,Travel_Frequently,No,2,1,7,Yes
Research & Development,5490.709999,Non-Travel,No,2,4,9,No
Research & Development,5602.179155,Travel_Rarely,Yes,2,1,10,No
